51,8,((1 + 1) + ((1+(1+1+1)!) ^ (1 + 1))),
51,6,((2 + (2 / 2)) + (((2 ^ 2)!) * 2)),
51,4,((3 * (3!)) + 33),
51,4,(4!*(√(4)+√√√√(4^(-4!)))),
51,5,((5 / 5) + (5 * (5 + 5))),
51,6,((((6!) - (6 * 6)) / (6 + 6)) - 6),
51,5,(((7 + 7) / 7) + (7 / 7)),
51,6,((√(√(8 + 8))) + (√√(8 - (8 / 8)) ^ 8)),
51,3,((9 * ((√9)!)) - (√9)),
52,8,((1 + 1) * ((1 + 1) + (((1 + 1) ^ (1 + 1))!))),
52,4,((((2 ^ 2)!) + 2) * 2),
52,5,(((3!) + (3!)) + (((3!)!) / (3 * (3!)))),
52,3,((√4) * ((√4) + (4!))),
52,5,(5 + ((((5!) + (5!)) - 5) / 5)),
52,6,((6 + 6) + ((6!) / ((6 + 6) + 6))),
52,6,(((7 + (7 + 7)) / 7) + (7 / 7)),
52,5,((88 / (√(√(8 + 8)))) + 8),
52,4,((9 * ((√9)!)) - (((√9)!) / (√9))),
53,7,(((1 + 1) ^ ((1+1+1)!)) - 11),
53,6,(((((2 ^ 2)!) + 2) * 2) + (2 / 2)),
53,5,(33 + (((3!)!) / ((3!) * (3!)))),
53,5,((((√4) / (√4)) + 4) + ((√4) * (4!))),
53,4,(5 + (((5!) + (5!)) / 5)),
53,5,((((6!) - 6) / 6) - 66),
53,5,(((7!) / (7 + 77)) - 7),
53,5,((√√8 ^ 8) - (88 / 8)),
53,4,((9 * ((√9)!)) - ((√9) / (√9))),
54,7,(((1+1+1)!) * ((11 - 1) - 1)),
54,5,(((((2 ^ 2)!) + 2) * 2) + 2),
54,3,((3 + (3!)) * (3!)),
54,4,((√4) + ((√4) * ((√4) + (4!)))),
54,4,(55 - (5 / 5)),
54,4,((66 - 6) - 6),
54,6,((7 - ((7 + 7) / 7)) + (7 / 7)),
54,5,(((√√8 ^ 8) - 8) - (√(√(8 + 8)))),
54,2,(9 * ((√9)!)),
55,6,((((1+1+1)!) - 1) * 11),
55,5,(22*(2+√(2^(-2)))),
55,5,((3 / 3) + ((3 + (3!)) * (3!))),
55,5,((((4!) - (√4)) / (√4)) + 44),
55,2,55,
55,5,(66 - (66 / 6)),
55,5,((7 - (7 / 7)) + (7 / 7)),
55,5,(((√√8 ^ 8) - 8) - (8 / 8)),
55,4,(((√9) / (√9)) + (9 * ((√9)!))),
56,6,((1 + 111) / (1 + 1)),
56,5,((((2 ^ 2)!) + (2 ^ 2)) * 2),
56,4,(((((3!) / 3) ^ 3)!) / ((3!)!)),
56,3,((√4) * ((4!) + 4)),
56,4,((5 / 5) + 55),
56,5,(((6!) / (6 * 6)) + (6 * 6)),
56,3,(7 + (7 / 7)),
56,3,((√√8 ^ 8) - 8),
56,3,(((9!) / (((√9)!)!)) / 9),
57,7,(1 + ((1 + 111) / (1 + 1))),
57,6,((22*(2+√(2^(-2)))) + 2),
57,4,(3 + ((3 + (3!)) * (3!))),
57,5,(((√4) / (√4)) + ((√4) * ((4!) + 4))),
57,5,(55 + ((5 + 5) / 5)),
57,5,(((6!) - (6 * 6)) / (6 + 6)),
57,5,(((7 / 7) + 7) + (7 / 7)),
57,5,((8 / 8) + ((√√8 ^ 8) - 8)),
57,3,((√9) + (9 * ((√9)!))),
58,8,((1 + 1) + ((1 + 111) / (1 + 1))),
58,6,(22 + (((2 + (2 / 2))!) ^ 2)),
58,4,((((3!) / 3) ^ (3!)) - (3!)),
58,4,((√4) + ((√4) * ((4!) + 4))),
58,5,(5 + (5 + (((5!) + (5!)) / 5))),
58,5,((((6 + 6) / 6) ^ 6) - 6),
58,6,((((7 + 7) / 7) + 7) + (7 / 7)),
58,5,((√(√(8 + 8))) + ((√√8 ^ 8) - 8)),
58,4,(((((√9)!) / (√9)) ^ ((√9)!)) - ((√9)!)),
59,7,((((1+1+1)!) * (11 - 1)) - 1),
59,6,((22 / 2) + (((2 ^ 2)!) * 2)),
59,5,(3 + (((((3!) / 3) ^ 3)!) / ((3!)!))),
59,5,((((4!) - (√4)) / (√4)) + ((√4) * (4!))),
59,5,((5 - (5 / 5)) + 55),
59,5,((66 - 6) - (6 / 6)),
59,6,(((77 - 7) / 7) + (7 / 7)),
59,6,((((√(8 + 8))!) / 8) + ((√√8 ^ 8) - 8)),
59,4,((√9) + (((9!) / (((√9)!)!)) / 9)),
60,6,(((1+1+1)!) * (11 - 1)),
60,5,(((√√2 ^ ((2 ^ 2)!)) - 2) - 2),
60,3,(((3!)!) / ((3!) + (3!))),
60,3,((√√(√4) ^ (4!)) - 4),
60,3,(5 + 55),
60,3,(66 - 6),
60,4,((7!) / (7 + 77)),
60,4,((√√8 ^ 8) - (√(8 + 8))),
60,3,(((√9)!) + (9 * ((√9)!))),
61,7,(1 + (((1+1+1)!) * (11 - 1))),
61,6,(((√√2 ^ ((2 ^ 2)!)) - 2) - (2 / 2)),
61,4,((((3!) / 3) ^ (3!)) - 3),
61,5,(((√4) / (√4)) + ((√√(√4) ^ (4!)) - 4)),
61,5,(5 + ((5 / 5) + 55)),
61,5,((6 / 6) + (66 - 6)),
61,6,((7 / 7) + ((7!) / (7 + 77))),
61,5,((√√8 ^ 8) - (((√(8 + 8))!) / 8)),
61,4,(((((√9)!) / (√9)) ^ ((√9)!)) - (√9)),
62,7,((((1 + 1) ^ ((1+1+1)!)) - 1) - 1),
62,4,((√√2 ^ ((2 ^ 2)!)) - 2),
62,5,((((((3!) / 3) ^ 3)!) / ((3!)!)) + (3!)),
62,3,((√√(√4) ^ (4!)) - (√4)),
62,6,(5 + (55 + ((5 + 5) / 5))),
62,6,(((6 + 6) / 6) + (66 - 6)),
62,6,((7 - (7 / 7)) + (7 + (7 / 7))),
62,4,((√√8 ^ 8) - (√(√(8 + 8)))),
62,4,(((√9)!) + (((9!) / (((√9)!)!)) / 9)),
63,6,(((1 + 1) ^ ((1+1+1)!)) - 1),
63,5,((√√2 ^ ((2 ^ 2)!)) - (2 / 2)),
63,4,(3 + (((3!)!) / ((3!) + (3!)))),
63,4,((√√(√4) ^ (4!)) - ((√4) / (√4))),
63,6,(5 + (5 + (5 + (((5!) + (5!)) / 5)))),
